commute,workout,sleep,study,socialize,evaluation
1,0,9.0,3.6746581470894424,0.31962618155781525,2.1
0,0,9.0,1.0170617831815685,3.8627815922461033,2.7
0,0,5.146663615970572,5.0,3.405252869531747,2.3
0,0,6.235296417043254,5.0,0.019583704154790504,2.7
0,2,6.436463794306878,4.672504733338754,0.891031472354366,3.6
0,2,6.762419349618705,0.21625414886046515,5.0,3.4
0,0,7.944714594147399,3.851452862481939,2.2038325433706616,2.8
1,2,6.2550078839876635,4.478621355701478,0.26637076031086027,2.7
1,2,9.0,0.17308371979686252,0.8402562753193029,2.9
0,2,5.855048368486859,2.56002025547887,3.5849313760342714,3.3
1,0,7.716965652305396,3.9350334791488053,1.3480008685457976,1.8
1,1,6.303761426593352,2.3311974248060494,3.365041148600597,1.9
1,2,6.402407298845962,3.862061308219269,0.7355313929347678,2.6
0,1,6.258541306849221,3.968229533329912,2.773229159820869,3.0
1,2,5.6063464166683445,3.652121775739187,1.7415318075924688,2.5
0,2,7.440037365034784,1.3825335052486298,3.1774291297165846,3.6
0,2,4.615551321021165,3.490185028557912,3.8942636504209216,3.1
0,0,6.977244594915646,4.278523857869076,2.7442315472152767,2.6
0,2,8.691457899935047,1.781217661249691,1.5273244388152625,3.9
0,0,4.907186022618137,5.0,2.373383269250953,2.3
0,2,4.570536988435411,3.6999341343500616,3.7295288772145274,3.2
0,2,7.11264207503637,0.7821871980621085,4.105170726901523,3.4
1,1,5.138321732168449,5.0,0.7056972793541628,1.9
0,0,9.0,0.5012736595249743,1.6740270593960171,2.9
1,2,5.603473312736678,1.1695796493277644,4.226947037935557,2.2
1,0,8.421064672706102,4.401354924452566,0.1775804028413311,2.0
0,0,6.634699370752153,1.905740522001267,5.0,2.3
0,1,6.292154256117915,5.0,1.3053703638532435,3.1
1,2,6.143079962910288,2.8930462822705625,1.9638737548191494,2.5
0,2,7.218943965155166,1.1524243559315202,3.628631678913315,3.5
0,1,5.589460423780223,3.4225861363616437,3.987953439858134,2.8
0,2,5.66998549549438,5.0,1.1432145465376093,3.5
0,2,7.070686905330757,0.20807510425232967,4.721237990416913,3.4
1,0,7.770134035497635,2.8399105847459114,2.3899553797564534,1.6
0,2,5.066337059932162,3.1783303838993295,3.7553325561685083,3.3
0,2,7.14764605820935,1.1743427397760422,3.6780112020146087,3.5
0,2,7.603581875909861,1.3880166543485708,3.008401469741567,3.6
0,2,6.028024774447806,2.6589824889212412,3.312992736630954,3.3
1,0,5.51021881834119,3.7832856965075474,3.7064954851512617,1.4
1,2,6.69413607004173,3.8451968302305155,0.46066709972775555,2.8
0,2,9.0,0.27407534735826894,2.538963602219431,3.8
0,1,5.439023858668007,3.1480435922301924,4.412932549101803,2.8
0,0,9.0,4.298024216179999,0.03229574733374682,3.1
0,2,6.496657104761052,1.8966349754373713,3.606707919801577,3.4
1,1,6.725142091412232,0.2877698898522235,4.987088018735545,1.9
0,2,6.447117297152748,2.0134781670423822,3.5394045358048682,3.4
1,0,8.150446199847838,1.9312838602933722,2.91826993985879,1.7
1,0,5.0680553691957435,5.0,2.8988897631309234,1.3
0,1,9.0,0.448615173337258,2.503420725237327,3.3
0,0,9.0,0.47665343429129825,4.321928017760539,2.7
0,0,9.0,2.7770093265958136,1.5924008585189007,2.9
1,2,4.728384206922569,4.156574200641197,2.1150415924362336,2.3
0,1,5.588016009265236,4.845586129136121,2.566397861598643,2.9
1,0,7.226991487056055,3.739114848300864,2.033893664643082,1.7
0,1,6.095301645682145,5.0,1.8771009961010405,3.1
0,0,9.0,1.6794059324526205,1.345977528068319,2.9
0,2,5.801249599333497,3.841362926336059,2.357387474330443,3.4
0,2,5.269555658451465,4.618477003884183,2.1119673376643506,3.4
0,2,7.989898333947802,0.051192026879554424,3.958909639172643,3.6
1,1,5.411002142631278,4.574058989273435,2.014938868095287,2.0
0,0,9.0,1.4411592066099337,0.5663882032427963,3.0
0,1,5.016690228522727,3.7447078185465603,4.238601952930713,2.7
0,0,8.526946858232597,0.8447406323748599,4.628312509392543,2.6
0,0,6.957238221143335,4.114583607706019,2.928178171150646,2.6
1,2,4.652435152663975,3.6595400883911045,2.6880247589449184,2.2
0,2,6.316951798313389,3.4682760187817743,2.214772182904836,3.6
0,2,5.8855186578120655,2.283541627441308,3.830939714746627,3.2
0,1,7.141136469570704,2.699266515267497,3.1595970151617987,3.0
0,2,6.052313085577554,3.889482946019055,2.058203968403391,3.6
1,0,9.0,2.348037520982309,0.38474343519384246,2.0
1,0,4.017154822989831,4.086139114641006,4.896706062369163,1.0
0,0,9.0,0.5654071473678173,3.6603043764541816,2.8
1,1,5.482311505847647,3.426873151784864,3.0908153423674904,1.9
0,0,9.0,1.0929044098652319,0.6721220137303808,2.9
0,2,5.285228265757709,3.3298492420396153,3.3849224922026764,3.3
1,2,7.476362531655966,1.4416919328328701,2.081945535511164,2.7
1,2,4.808924023342326,5.0,0.05067843758722725,2.5
0,1,5.679438160574018,4.164808928339526,3.155752911086457,2.9
0,0,6.743523302549187,2.6174941664247693,4.638982531026041,2.4
1,0,8.166817410019128,2.9350432893652023,1.8981393006156695,1.8
0,2,5.565486302237416,1.1240180888324465,5.0,3.2
0,2,7.571073608651755,1.6187027443266282,2.810223647021615,3.6
0,0,9.0,0.6212021907768919,3.0691612394767467,2.8
0,0,8.762034264924068,1.9212354372272584,3.3167302978486726,2.8
0,2,6.085937157178228,3.8762232804456915,2.03783956237608,3.6
0,0,9.0,1.587914324329985,2.6940718970278437,2.8
0,0,7.705883458392993,4.0678045074903615,2.226312034116647,2.8
1,1,4.931750334207986,3.2514943296303116,3.816755336161703,1.8
1,1,5.3758024823192345,0.5049437047221803,5.0,1.6
0,0,8.756624682806462,0.7996442727141392,4.443731044479398,2.7
0,2,6.604118501178592,2.8914344676743595,2.5044470311470484,3.4
0,2,4.955738333065642,3.5134065554241873,3.5308551115101707,3.3
0,2,7.497355572571568,1.0880660200726175,3.4145784073558145,3.6
0,2,8.182952883134472,2.825467016615421,0.9915801002501071,3.8
1,2,7.627684737790264,2.789793139749248,0.5825221224604884,2.8
0,0,6.671314288487774,5.0,0.36423834147296946,2.7
0,0,7.409826357787561,3.954684218128571,2.6354894240838687,2.7
1,0,5.921789455405307,1.7722616948013743,5.0,1.2
1,0,7.54127432945404,0.7567182294247513,4.702007441121208,1.5
0,0,9.0,1.545115619370045,2.3613124246720782,2.8
0,2,8.78735866192455,0.7506596994061444,2.461981638669305,3.8
0,2,6.599982350844356,4.980649677615912,0.4193679715397319,3.7
0,0,5.703374341636886,2.0465092763062014,5.0,2.2
1,2,7.816459530566857,2.8277140322678394,0.3558264371653036,2.8
0,1,9.0,1.7199801315750134,1.699071424775282,3.4
1,2,8.361884273313699,0.9896464131327919,1.6484693135535111,2.8
